video number, frame number, cell number of x, cell number of y,KM1,KM2,KM3,KM4,KM5,KM6,KM7
10R.mp4,15,3,4,-442.707997,842.543124,9.999400,-13.887870,9.836488,5.200995,0.087260
10R.mp4,15,4,1,-425.236851,839.915582,9.229915,-33.091795,24.449218,5.503279,0.987596
10R.mp4,15,4,2,-569.714326,501.208220,-49.239665,-22.867915,-19.889742,-0.738059,4.546922
10R.mp4,15,4,3,-588.913766,397.712311,-68.641529,-38.866325,-54.286361,-32.483364,19.620097
10R.mp4,15,4,4,-500.576295,746.855337,12.045022,-14.489547,8.017382,5.826473,-0.088229
10R.mp4,16,1,1,-282.057019,790.959046,3.178450,-206.737008,156.925925,8.960141,7.033894
10R.mp4,16,1,2,-344.395513,890.155121,1.085544,-66.326041,29.121063,-8.529100,-3.865910
10R.mp4,16,1,3,-371.392186,812.816402,-7.688400,-74.413119,16.201687,-16.003111,-2.015305
10R.mp4,16,1,4,-366.944409,883.671441,6.930459,-63.125168,47.892987,5.264465,0.542070
10R.mp4,16,2,1,-260.957962,902.275087,2.255608,-159.233428,121.627259,6.511962,6.914076
10R.mp4,16,2,2,-324.491746,801.809753,-13.291357,-128.116254,77.921758,-15.299219,12.409443
10R.mp4,16,2,3,-342.189517,752.089644,-30.780101,-117.473890,28.071578,-39.807475,22.795766
10R.mp4,16,2,4,-258.000550,953.066362,2.133879,-130.244253,99.725569,5.135904,5.709505
10R.mp4,16,3,1,-394.264134,930.220862,7.881578,-7.381380,5.176298,3.393875,0.068622
10R.mp4,16,3,2,-398.665439,682.894279,-106.106700,-40.697305,-58.433605,-4.083350,17.000131
10R.mp4,16,3,3,-392.083641,626.398659,-128.130179,-48.704063,-44.786954,-10.515703,17.405898
10R.mp4,16,3,4,-440.990459,840.076367,9.923387,-17.165404,12.323681,5.292230,0.234260
10R.mp4,16,4,1,-424.750055,842.103814,9.455421,-32.559118,24.978070,6.040358,0.719452
10R.mp4,16,4,2,-564.723282,513.667212,-49.323185,-20.370956,-24.016267,-1.280470,2.855116
10R.mp4,16,4,3,-587.067262,398.224851,-65.441321,-37.331264,-50.248290,-40.911015,20.250230
10R.mp4,16,4,4,-495.580595,755.326517,11.579961,-13.822285,6.610629,5.064356,0.158293
10R.mp4,17,1,1,-287.175848,794.424756,3.398038,-200.087259,152.122933,8.984463,7.611261
10R.mp4,17,1,2,-356.131456,895.884011,3.832986,-53.079192,27.733531,-3.345325,-5.637301
10R.mp4,17,1,3,-370.803252,809.518065,-10.302516,-71.792556,6.884265,-20.187189,-3.105878
10R.mp4,17,1,4,-366.944409,883.671441,6.930459,-63.125168,47.892987,5.264465,0.542070
10R.mp4,17,2,1,-269.011063,908.786500,2.611174,-147.046463,112.370132,6.224984,6.358701
10R.mp4,17,2,2,-322.937964,802.977662,-16.229234,-124.318670,72.905702,-16.974159,12.859621
10R.mp4,17,2,3,-347.346743,751.384876,-36.625123,-106.632904,27.293950,-33.737342,20.011796
10R.mp4,17,2,4,-258.967378,952.770076,2.176387,-129.459465,99.127053,5.131480,5.671380
10R.mp4,17,3,1,-400.997813,924.166521,8.176975,-4.426741,2.906405,3.474228,-0.091213
10R.mp4,17,3,2,-394.615102,683.049867,-107.168174,-41.516350,-54.483144,-5.539987,16.788644
